What is your age?,Which social media platform/s do you like the most or use the most?,Number of social medial do you use ?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,Measurement Effect in human
18,"Whatsapp, Youtube, Twitter, Instagram",4,upto 4 hrs,less than 1 hr,3,Hacking,"face to face, through phone, through social media",High
18,"Whatsapp, Facebook, Youtube, Instagram",4,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,face to face,Low
18,"Whatsapp, Facebook, Youtube, Snapchat",4,less than 1 hr,less than 1 hr,5,Fake profiles,through social media,Low
18,"Whatsapp, Youtube, Instagram",3,less than 1 hr,1 - 2.5 hrs,0,None of the above,"face to face, through phone",Low
23,"Facebook, Youtube",2,1 - 2.5 hrs,less than 1 hr,5,None of the above,Text message,Low
22,Twitter,1,less than 1 hr,upto 4 hrs,1,None of the above,face to face,Low
19,"Whatsapp, Facebook, Youtube, Instagram",4,1 - 2.5 hrs,1 - 2.5 hrs,2,Fake profiles,face to face,Low
21,"Whatsapp, Facebook, Youtube",3,1 - 2.5 hrs,less than 1 hr,5,Fake profiles,face to face,Low
19,"Whatsapp, Facebook, Instagram, Snapchat",4,upto 4 hrs,less than 1 hr,5,Hacking,face to face,High
19,"Whatsapp, Facebook, Youtube, Instagram",4,more than 4 hrs,less than 1 hr,2,None of the above,face to face,High
18,"Instagram, Snapchat",2,1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,Text message,Low
19,"Whatsapp, Instagram",2,more than 4 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone, Text message, through social media",High
19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",6,more than 4 hrs,1 - 2.5 hrs,3,None of the above,"face to face, through phone, Text message, through social media",High
19,Youtube,1,1 - 2.5 hrs,none,0,None of the above,face to face,High
19,"Youtube, Twitter",2,less than 1 hr,more than 4 hrs,0,Fake profiles,"face to face, through phone, Text message",High
20,"Facebook, Youtube, Instagram",3,1 - 2.5 hrs,upto 4 hrs,0,None of the above,face to face,Low
20,Youtube,1,upto 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,High
20,"Facebook, Youtube, Instagram",3,more than 4 hrs,none,9,None of the above,face to face,High
19,Instagram,1,less than 1 hr,1 - 2.5 hrs,6,None of the above,Text message,Low
